Domain,country,Element,Item,year,Source,co2_emissions
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2010","FAO TIER 1","20934.6882"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2011","FAO TIER 1","20117.5482"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2012","FAO TIER 1","21741.4843"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2013","FAO TIER 1","22728.4394"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2014","FAO TIER 1","24683.8524"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2015","FAO TIER 1","25021.965"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2016","FAO TIER 1","20670.4691"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2017","FAO TIER 1","25353.428"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2018","FAO TIER 1","25068.0558"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2019","FAO TIER 1","25698.1423"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2020","FAO TIER 1","26424.6112"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2021","FAO TIER 1","26424.6112"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","1990","FAO TIER 1","-346950.8412"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","1991","FAO TIER 1","-346950.8412"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","1992","FAO TIER 1","-346950.8412"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","1993","FAO TIER 1","-346950.8412"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","1994","FAO TIER 1","-346950.8412"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","1995","FAO TIER 1","-346950.8412"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","1996","FAO TIER 1","-346950.8412"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","1997","FAO TIER 1","-346950.8412"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","1998","FAO TIER 1","-346950.8412"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","1999","FAO TIER 1","-346950.8412"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2000","FAO TIER 1","-346950.8412"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2001","FAO TIER 1","-504292.9573"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2002","FAO TIER 1","-504292.9573"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2003","FAO TIER 1","-504292.9573"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2004","FAO TIER 1","-504292.9573"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2005","FAO TIER 1","-504292.9573"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2006","FAO TIER 1","-504292.9573"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2007","FAO TIER 1","-504292.9573"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2008","FAO TIER 1","-504292.9573"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2009","FAO TIER 1","-504292.9573"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2010","FAO TIER 1","-504292.9573"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2011","FAO TIER 1","-519221.8123"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2012","FAO TIER 1","-519221.8123"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2013","FAO TIER 1","-519221.8123"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2014","FAO TIER 1","-519221.8123"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2015","FAO TIER 1","-519221.8123"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2016","FAO TIER 1","-269412.8448"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2017","FAO TIER 1","-269412.8448"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2018","FAO TIER 1","-269412.8448"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2019","FAO TIER 1","-269412.8448"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2020","FAO TIER 1","-269412.8448"
"Emissions totals","Brazil","Emissions (CO2)","Forestland","2021","FAO TIER 1","-269412.8448"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","1990","FAO TIER 1","1385208.6765"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","1991","FAO TIER 1","1385208.6765"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","1992","FAO TIER 1","1385208.6765"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","1993","FAO TIER 1","1385208.6765"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","1994","FAO TIER 1","1385208.6765"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","1995","FAO TIER 1","1385208.6765"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","1996","FAO TIER 1","1385208.6765"
