country,year,iso_code,population,gdp,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,cluster
Brazil,2010,BRA,196353504.0,2820492492800.0,0.108,440.269,50.494,12.955,1445.519,-100.901,-6.525,7.362,0.513,0.454,2.242,0.156,0.138,56.688,0.289,484.823,2.469,0.172,540.408,11229.705,113209.445,1778.846,269.381,566.458,106137.742,7975.223,99.389,16220.931,1.129,15.214,0.077,55.049,0.28,5.092,10.812,1005.25,5.12,438.27,2.232,177.4,0.903,286.08,1.457,0.03,5.95,3185.037,1.696,1.322,3.756,0.407,1.901,0.836,5.434,0.277,1.835,0.321,14.251,1.68,1.546,4.456,0.889,19.416,2.525,2.417,5.046,0.02,0.045,0.068,0.003,2122.88,999.92,1
Brazil,2011,BRA,198185296.0,2968454955008.0,0.115,462.58,22.311,5.068,1429.526,-15.993,-1.106,7.213,0.482,0.434,2.334,0.156,0.14,62.292,0.314,519.211,2.62,0.175,563.253,11692.285,114638.969,1841.138,283.501,619.559,107104.68,8279.108,105.726,16629.84,1.11,14.12,0.071,53.101,0.268,5.144,6.49,966.946,4.879,429.81,2.169,168.0,0.848,303.885,1.533,0.032,6.337,3295.79,1.693,1.343,3.605,0.423,1.892,0.849,5.4,0.28,1.885,0.339,14.281,1.703,1.577,3.928,0.833,18.531,2.678,2.304,5.047,0.021,0.046,0.069,0.003,1286.3,1019.42,1
Brazil,2012,BRA,199977712.0,3025484382208.0,0.125,498.309,35.729,7.724,1586.254,156.728,10.964,7.932,0.524,0.468,2.492,0.165,0.147,61.016,0.305,553.398,2.767,0.183,588.251,12190.594,116225.219,1902.154,298.262,682.955,108192.625,8606.843,112.129,16963.494,1.121,14.761,0.074,63.397,0.317,5.294,6.653,1087.945,5.44,434.35,2.172,171.55,0.858,327.734,1.639,0.032,6.403,3392.321,1.806,1.426,3.938,0.41,1.888,0.863,5.373,0.283,1.935,0.361,14.324,1.729,1.607,3.912,0.975,20.354,2.85,2.314,5.047,0.021,0.047,0.07,0.003,1330.37,1058.6,1
Brazil,2013,BRA,201721776.0,3116394610688.0,0.132,532.418,34.109,6.845,1744.127,157.873,9.953,8.646,0.56,0.502,2.639,0.171,0.153,65.604,0.325,591.119,2.93,0.19,614.903,12723.012,117969.352,1967.758,314.896,757.659,109404.344,8949.181,118.615,17221.439,1.115,16.634,0.082,74.704,0.37,5.399,6.713,1211.709,6.007,428.42,2.124,168.6,0.836,342.338,1.697,0.032,6.486,3473.939,1.847,1.511,4.35,0.438,1.886,0.879,5.354,0.286,1.993,0.387,14.392,1.757,1.631,4.315,1.143,24.939,2.955,2.202,5.048,0.022,0.047,0.072,0.003,1354.14,1089.19,1
Brazil,2014,BRA,203459648.0,3132099919872.0,0.132,557.901,25.483,4.786,1811.109,66.982,3.84,8.902,0.578,0.508,2.742,0.178,0.157,69.034,0.339,612.322,3.01,0.195,641.811,13280.913,119780.461,2036.792,332.538,838.945,110657.547,9305.934,124.893,17519.043,1.138,17.642,0.087,81.286,0.4,5.542,6.861,1253.208,6.159,436.81,2.147,177.2,0.871,356.753,1.753,0.031,6.278,3564.418,1.794,1.573,4.452,0.46,1.882,0.895,5.338,0.29,2.054,0.414,14.458,1.787,1.648,4.558,1.223,24.034,3.07,2.056,5.048,0.022,0.048,0.073,0.003,1395.95,1127.55,1
Brazil,2015,BRA,205188208.0,3021043138560.0,0.122,529.353,-28.548,-5.117,1855.354,44.246,2.443,9.042,0.614,0.528,2.58,0.175,0.151,69.452,0.338,548.136,2.671,0.181,666.893,13810.266,121635.812,2106.244,350.142,919.409,111983.547,9636.293,131.285,17140.15,1.164,17.604,0.086,80.465,0.392,5.388,6.725,1326.001,6.462,446.49,2.176,177.68,0.866,330.359,1.61,0.031,6.392,3516.957,1.736,1.493,4.515,0.474,1.876,0.909,5.323,0.294,2.113,0.439,14.524,1.809,1.666,4.581,1.186,23.551,2.78,2.105,5.049,0.022,0.049,0.074,0.003,1379.88,1105.48,1
Brazil,2016,BRA,206859584.0,2922076176384.0,0.108,492.748,-36.605,-6.915,1745.648,-109.706,-5.913,8.439,0.597,0.509,2.382,0.169,0.144,63.831,0.309,487.871,2.358,0.167,689.308,14303.014,123381.461,2170.075,367.647,989.075,113236.445,9949.232,137.677,16591.764,1.175,17.505,0.085,69.666,0.337,5.171,7.079,1252.9,6.057,447.89,2.165,176.2,0.852,312.939,1.513,0.031,6.392,3432.165,1.512,1.39,4.358,0.446,1.862,0.92,5.306,0.297,2.17,0.457,14.599,1.826,1.682,4.677,1.0,27.243,2.606,2.127,5.05,0.023,0.05,0.075,0.003,1464.26,1069.58,1
Brazil,2017,BRA,208504960.0,2960731668480.0,0.097,497.121,4.373,0.888,1586.351,-159.297,-9.125,7.608,0.536,0.458,2.384,0.168,0.144,66.689,0.32,498.514,2.391,0.168,709.525,14800.135,124967.812,2236.765,385.152,1059.26,114325.672,10265.364,144.069,16608.686,1.17,17.505,0.084,70.186,0.337,5.208,7.127,1089.23,5.224,448.99,2.153,187.82,0.901,316.132,1.516,0.031,6.392,3462.993,1.344,1.38,3.908,0.46,1.841,0.931,5.282,0.3,2.222,0.474,14.654,1.843,1.698,4.518,0.986,23.861,2.587,2.111,5.045,0.023,0.05,0.076,0.003,1486.01,1085.92,1
Brazil,2018,BRA,210166592.0,3013541101568.0,0.098,477.999,-19.123,-3.847,1378.641,-207.71,-13.094,6.56,0.457,0.397,2.274,0.159,0.138,65.737,0.313,478.331,2.276,0.159,730.019,15278.134,126346.453,2302.501,402.657,1126.327,115226.32,10566.169,150.461,16539.109,1.153,17.505,0.083,67.066,0.319,5.016,6.867,900.643,4.285,438.0,2.084,177.53,0.845,300.805,1.431,0.03,6.392,3475.968,1.309,1.3,3.358,0.446,1.821,0.939,5.25,0.303,2.27,0.488,14.688,1.856,1.712,4.298,0.894,21.018,2.452,2.109,5.033,0.023,0.051,0.077,0.003,1443.29,1054.18,1
Brazil,2019,BRA,211782880.0,3050327244800.0,0.099,473.464,-4.534,-0.949,1712.449,333.808,24.213,8.086,0.561,0.485,2.236,0.155,0.134,61.926,0.292,476.565,2.25,0.156,751.067,15751.598,128058.898,2364.427,420.162,1193.393,116465.305,10865.695,156.853,16681.945,1.158,17.505,0.083,67.066,0.317,5.052,6.929,1238.985,5.85,449.79,2.124,189.05,0.893,299.527,1.414,0.03,6.392,3532.95,1.303,1.278,4.113,0.422,1.801,0.947,5.23,0.305,2.312,0.5,14.76,1.868,1.725,4.02,0.88,26.949,2.42,2.094,5.024,0.024,0.052,0.078,0.003,1467.48,1069.92,1
